종목코드,종목명
A014830,유니드
A014910,성문전자
A014940,오리엔탈정공
A014950,삼익제약
A014970,삼륭물산
A014990,인디에프
A015020,이스타코
A015230,대창단조
A015260,에이엔피
A015360,INVENI
A015590,DKME
A015710,코콤
A015750,성우하이텍
A015860,일진홀딩스
A015890,태경산업
A016090,대현
A016100,리더스코스메틱
A016250,SGC E&C
A016360,삼성증권
A016380,KG스틸
A016450,한세예스24홀딩스
A016580,환인제약
A016590,신대양제지
A016600,큐캐피탈
A016610,DB증권
A016670,디모아
A016710,대성홀딩스
A016740,두올
A016790,현대사료
A016800,퍼시스
A016880,웅진
A016920,카스
A017000,신원종합개발
A017040,광명전기
A017180,명문제약
A017250,인터엠
A017370,우신시스템
A017480,삼현철강
A017510,세명전기
A017550,수산세보틱스
A017650,대림제지
A017670,SK텔레콤
A017800,현대엘리베이터
A017810,풀무원
A017860,DS단석
A017890,한국알콜
A017900,광전자
A017940,E1
A017960,한국카본
A018000,유니슨
A018120,진로발효
A018250,애경산업
A018260,삼성에스디에스
A018290,브이티
A018310,삼목에스폼
A018470,조일알미늄
A018500,동원금속
A018620,우진비앤지
A018670,SK가스
A018680,서울제약
A018700,바른손
A018880,한온시스템
A019010,베뉴지
A019170,신풍제약
A019180,티에이치엔
A019210,와이지-원
A019440,세아특수강
A019490,엑시큐어하이트론
A019540,일지테크
A019550,SBI인베스트먼트
A019570,플루토스
A019660,글로본
A019680,대교
A019770,서연탑메탈
A019990,에너토크
A020000,한섬
A020120,키다리스튜디오
A020150,롯데에너지머티리얼즈
A020180,대신정보통신
A020400,대동금속
A020560,아시아나항공
A020710,시공테크
A020760,일진디스플
A021040,대호특수강
A021050,서원
A021080,에이티넘인베스트
A021240,코웨이
A021320,KCC건설
A021650,한국큐빅
A021820,세원정공
A021880,메이슨캐피탈
A022100,포스코DX
A022220,티케이지애강
A023000,삼원강재
A023150,MH에탄올
A023160,태광
A023350,한국종합기술
A023410,유진기업
A023440,제이스코홀딩스
A023450,동남합성
A023530,롯데쇼핑
A023590,다우기술
A023600,삼보판지
A023760,한국캐피탈
A023770,플레이위드
A023790,동일스틸럭스
A023800,인지컨트롤스
A023810,인팩
A023900,풍국주정
A023910,대한약품
A023960,에쓰씨엔지니어링
A024060,흥구석유
A024070,WISCOM
A024090,디씨엠
A024110,기업은행
A024120,KB오토시스
A024720,콜마홀딩스
A024740,한일단조
A024800,유성티엔에스
A024830,세원물산
A024840,KBI메탈
A024850,HLB이노베이션
A024880,케이피에프
A024890,대원화성
A024900,디와이덕양
A024910,경창산업
A024940,PN풍년
A024950,삼천리자전거
A025000,KPX케미칼
A025320,시노펙스
A025440,DH오토웨어
A025550,한국선재
A025560,미래산업
A025620,차AI헬스케어
A025750,한솔홈데코
A025770,한국정보통신
A025820,이구산업
A025860,남해화학
A025870,신라에스지
A025880,케이씨피드
A025890,한국주강
A025900,동화기업
A025950,동신건설
A025980,아난티
A026040,제이에스티나
A026150,특수건설
A026890,스틱인베스트먼트
A026910,광진실업
A026940,부국철강
A026960,동서
A027040,서울전자통신
A027050,코리아나
A027360,아주IB투자
A027410,BGF
A027580,상보
A027710,팜스토리
A027740,마니커
A027830,대성창투
A027970,한국제지
A028050,삼성E&A
A028080,휴맥스홀딩스
A028100,동아지질
A028260,삼성물산
A028300,HLB
A028670,팬오션
A029460,케이씨
A029480,광무
A029530,신도리코
A029780,삼성카드
A030000,제일기획
A030190,NICE평가정보
A030210,다올투자증권
A030350,드래곤플라이
A030520,한글과컴퓨터
A030530,원익홀딩스
A030610,교보증권
A030720,동원수산
A030960,양지사
A031210,서울보증보험
A031310,아이즈비전
A031330,에스에이엠티
A031430,신세계인터내셔날
A031440,신세계푸드
A031510,오스템
A031820,아이티센씨티에스
A031860,디에이치엑스컴퍼니
A031980,피에스케이홀딩스
A032080,아즈텍WB
A032190,다우데이타
A032280,삼일
A032300,한국파마
A032350,롯데관광개발
A032500,케이엠더블유
A032540,TJ미디어
A032560,황금에스티
A032580,피델릭스
A032620,유비케어
A032640,LG유플러스
A032680,소프트센
A032750,삼진
A032790,엠젠솔루션
A032800,판타지오
A032820,우리기술
A032830,삼성생명
A032850,비트컴퓨터
A032860,더라미
A032940,원익
A032960,동일기연
A032980,바이온
A033050,제이엠아이
A033100,제룡전기
A033130,디지틀조선
A033160,엠케이전자
A033170,시그네틱스
A033200,모아텍
A033230,인성정보
A033240,자화전자
A033250,체시스
A033290,로젠
A033310,엠투엔
A033320,제이씨현시스템
A033340,좋은사람들
A033500,동성화인텍
A033530,SJG세종
A033540,파라텍
A033560,블루콤
A033640,네패스
A033790,피노
A033830,티비씨
A033920,무학
A034020,두산에너빌리티
A034120,SBS
A034220,LG디스플레이
A034230,파라다이스
A034310,NICE
A034590,인천도시가스
A034730,SK
A034810,해성산업
A034830,한국토지신탁
A034940,조아제약
A034950,한국기업평가
A035000,HS애드
A035080,그래디언트
A035150,백산
A035200,프럼파스트
A035250,강원랜드
A035290,골드앤에스
A035420,NAVER
A035460,기산텔레콤
